法源编号,层级,规范全称,制定机关,文号或标准号,公布日期,施行日期,失效日期,基准日状态,适用场景,重点条款或章节,具体规则内容,内容属性,强制属性,官方URL,最后核验日期,替代或衔接关系,项目适用结论,适用或排除理由,复核人
L001,法律,中华人民共和国个人信息保护法,全国人大常委会,主席令第91号,2021-08-20,2021-11-01,,现行,全部个人信息处理活动,第3条及第13—65条,"规则摘要，非原文：依具体场景核验域外适用、合法性基础、告知同意、敏感个人信息、个人权利、安全措施、影响评估、审计及跨境义务。",规则摘要,强制,https://flk.npc.gov.cn/detail?fileId=&id=ff8081817b6472a3017b656cc2040044&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E4%B8%AA%E4%BA%BA%E4%BF%A1%E6%81%AF%E4%BF%9D%E6%8A%A4%E6%B3%95&type=,2026-08-02,基础直接法源,,,待复核
L002,法律,中华人民共和国网络安全法（2025年修正）,全国人大常委会,按官方现行文本,2025-10-28,2026-01-01,,现行,网络运营和网络数据处理,网络运行安全及法律责任,"规则摘要，非原文：网络运营者应履行网络安全保护义务，采取技术和管理措施保护网络数据，并按现行文本核验事件处置、关键信息基础设施和法律责任。",规则摘要,强制,https://flk.npc.gov.cn/,2026-08-02,历史行为适用行为时文本,,,待复核
L003,法律,中华人民共和国数据安全法,全国人大常委会,主席令第84号,2021-06-10,2021-09-01,,现行,数据分类分级和重要数据,第21—36条,"规则摘要，非原文：数据处理者应建立全流程数据安全管理制度，开展教育培训和风险监测；重要数据处理者另须落实负责人、风险评估和报告等要求。",规则摘要,强制,https://flk.npc.gov.cn/,2026-08-02,与个保法和网络数据条例并行,,,待复核
L004,法律,中华人民共和国民法典,全国人大,主席令第45号,2020-05-28,2021-01-01,,现行,隐私权和个人信息民事权益,第1032—1039条,"规则摘要，非原文：自然人的隐私权和个人信息受法律保护；处理个人信息应遵循合法、正当、必要原则并符合告知、同意或其他法定条件。",规则摘要,强制,https://wb.flk.npc.gov.cn/flfg/PDF/bd53dd912c1048f2aecbaa229238334b.pdf,2026-08-02,民事权益与救济法源,,,待复核
L005,法律,中华人民共和国未成年人保护法,全国人大常委会,主席令第57号,2020-10-17,2021-06-01,,现行,未满18周岁用户和受众,网络保护专章,"规则摘要，非原文：网络产品和服务提供者应保护未成年人个人信息，建立投诉举报渠道，并针对可能影响未成年人身心健康的网络服务采取专门保护措施。",规则摘要,强制,https://flk.npc.gov.cn/,2026-08-02,与未成年人网络保护条例并行,,,待复核
L006,法律,中华人民共和国立法法（2023年修正）,全国人民代表大会,主席令第3号,2023-03-13,2023-03-15,,现行,法源层级、制定权限和规范冲突核验,第98—103条,"规则摘要，非原文：宪法具有最高法律效力；法律效力高于行政法规、地方性法规和规章，行政法规效力高于地方性法规和规章；地方性法规与地方政府规章、部门规章与地方政府规章以及同一机关特别/一般和新/旧规定应按法定规则判断。",规则摘要,强制,https://flk.npc.gov.cn/detail?fileId=&id=ff808181865edc140186d9d6f1cb2503&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E7%AB%8B%E6%B3%95%E6%B3%95&type=,2026-08-05,上下位规范和冲突核验基础法源,,,待复核
AR001,行政法规,网络数据安全管理条例,国务院,国务院令第790号,2024-09-24,2025-01-01,,现行,网络数据处理者,个人信息和网络数据章节,"规则摘要，非原文：网络数据处理者应在处理规则、委托处理、权利响应、安全措施、事件处置、重要数据、平台和出境方面履行分层义务。",规则摘要,强制,https://app.www.gov.cn/govdata/gov/202409/30/520076/article.html,2026-08-02,个保法配套行政法规,,,待复核
AR002,行政法规,未成年人网络保护条例,国务院,国务院令第766号,2023-10-16,2024-01-01,,现行,未成年人网络产品和服务,个人信息保护章节及第37条,"规则摘要，非原文：个人信息处理者应落实最有利于未成年人原则和专门保护义务；对未成年人个人信息处理合规情况依法每年开展审计并按规定报送。",规则摘要,强制,https://xzfg.moj.gov.cn/front/law/detail?LawID=1694,2026-08-02,与儿童个人信息规定并行,,,待复核
AR005,行政法规,公共安全视频图像信息系统管理条例,国务院,国务院令第799号,2025-02-10,2025-04-01,,现行,公共场所视频图像系统,安装至删除全流程,"规则摘要，非原文：公共安全视频系统的建设和使用应符合必要性、标识、访问调取、提供公开、保存期限和安全保护等要求。",规则摘要,强制,https://xzfg.moj.gov.cn/law/download?LawID=1762&type=pdf,2026-08-02,与人脸识别办法分别判断,,,待复核
R001,部门规章,个人信息保护合规审计管理办法,国家互联网信息办公室,国家网信办令第18号,2025-02-12,2025-05-01,,现行,个人信息保护合规审计,第2—20条及附件指引,"规则摘要，非原文：处理超过1000万人个人信息的处理者每两年至少审计一次；保护部门在法定风险情形下可要求委托专业机构审计，并可要求限期、报告、整改和报送。",规则摘要,强制,https://www.cac.gov.cn/2025-02/14/c_1741233507681519.htm,2026-08-02,正式审计直接依据,,,待复核
